2012-05-07 09:20:12.7877|INFO|FinalVersion.SurfaceWindow1|; 1336382401836 ; alberto ; A ; 0 ; 0 ; 0 ; 1 ; 1336382412784
2012-05-07 09:20:36.1130|INFO|FinalVersion.SurfaceWindow1|; 1336382427872 ; alberto ; A ; 0 ; 0 ; 1 ; 0 ; 1336382436113
2012-05-07 09:20:55.2221|INFO|FinalVersion.SurfaceWindow1|; 1336382445488 ; alberto ; A ; 0 ; 0 ; 2 ; 0 ; 1336382455222
2012-05-07 09:21:11.2770|INFO|FinalVersion.SurfaceWindow1|; 1336382464246 ; alberto ; A ; 0 ; 0 ; 1 ; 0 ; 1336382471277
2012-05-07 09:21:26.8569|INFO|FinalVersion.SurfaceWindow1|; 1336382479227 ; alberto ; A ; 0 ; 0 ; 0 ; 0 ; 1336382486856
2012-05-07 09:22:09.3483|INFO|FinalVersion.SurfaceWindow1|; 1336382495189 ; alberto ; A ; 0 ; 0 ; 2 ; 1 ; 1336382529348
2012-05-07 09:22:25.0212|INFO|FinalVersion.SurfaceWindow1|; 1336382538345 ; alberto ; A ; 0 ; 0 ; 1 ; 0 ; 1336382545021
2012-05-07 09:22:37.9840|INFO|FinalVersion.SurfaceWindow1|; 1336382551540 ; alberto ; A ; 0 ; 0 ; 0 ; 0 ; 1336382557984
2012-05-07 09:22:52.5168|INFO|FinalVersion.SurfaceWindow1|; 1336382565117 ; alberto ; A ; 0 ; 0 ; 2 ; 0 ; 1336382572516
2012-05-07 09:23:34.6462|INFO|FinalVersion.SurfaceWindow1|; 1336382608759 ; alberto ; A ; 1 ; 0 ; 1 ; 1 ; 1336382614646
2012-05-07 09:23:44.1528|INFO|FinalVersion.SurfaceWindow1|; 1336382620385 ; alberto ; A ; 1 ; 0 ; 0 ; 1 ; 1336382624152
2012-05-07 09:23:52.7792|INFO|FinalVersion.SurfaceWindow1|; 1336382629477 ; alberto ; A ; 1 ; 0 ; 2 ; 1 ; 1336382632779
2012-05-07 09:24:01.3887|INFO|FinalVersion.SurfaceWindow1|; 1336382637217 ; alberto ; A ; 1 ; 0 ; 1 ; 1 ; 1336382641388
2012-05-07 09:24:08.9252|INFO|FinalVersion.SurfaceWindow1|; 1336382645620 ; alberto ; A ; 1 ; 0 ; 0 ; 1 ; 1336382648925
2012-05-07 09:24:16.2266|INFO|FinalVersion.SurfaceWindow1|; 1336382652814 ; alberto ; A ; 1 ; 0 ; 2 ; 1 ; 1336382656226
2012-05-07 09:24:23.4400|INFO|FinalVersion.SurfaceWindow1|; 1336382660337 ; alberto ; A ; 1 ; 0 ; 1 ; 1 ; 1336382663440
2012-05-07 09:24:29.5784|INFO|FinalVersion.SurfaceWindow1|; 1336382667461 ; alberto ; A ; 1 ; 0 ; 0 ; 1 ; 1336382669578
2012-05-07 09:24:37.1438|INFO|FinalVersion.SurfaceWindow1|; 1336382674047 ; alberto ; A ; 1 ; 0 ; 2 ; 1 ; 1336382677143
2012-05-07 09:26:35.8776|INFO|FinalVersion.SurfaceWindow1|; 1336382720791 ; alberto ; A ; 2 ; 0 ; 1 ; 0 ; 1336382795877
2012-05-07 09:27:07.6454|INFO|FinalVersion.SurfaceWindow1|; 1336382804432 ; alberto ; A ; 2 ; 0 ; 0 ; 0 ; 1336382827645
2012-05-07 09:28:05.8577|INFO|FinalVersion.SurfaceWindow1|; 1336382835039 ; alberto ; A ; 2 ; 0 ; 2 ; 0 ; 1336382885857
2012-05-07 09:28:56.2606|INFO|FinalVersion.SurfaceWindow1|; 1336382931583 ; alberto ; A ; 0 ; 1 ; 1 ; 0 ; 1336382936260
2012-05-07 09:29:03.9480|INFO|FinalVersion.SurfaceWindow1|; 1336382939568 ; alberto ; A ; 0 ; 1 ; 0 ; 0 ; 1336382943948
2012-05-07 09:29:56.6851|INFO|FinalVersion.SurfaceWindow1|; 1336382948511 ; alberto ; A ; 0 ; 1 ; 2 ; 6 ; 1336382996685
2012-05-07 09:30:05.8296|INFO|FinalVersion.SurfaceWindow1|; 1336383000657 ; alberto ; A ; 0 ; 1 ; 1 ; 0 ; 1336383005829
2012-05-07 09:30:14.6101|INFO|FinalVersion.SurfaceWindow1|; 1336383009430 ; alberto ; A ; 0 ; 1 ; 0 ; 0 ; 1336383014610
2012-05-07 09:30:23.9246|INFO|FinalVersion.SurfaceWindow1|; 1336383017521 ; alberto ; A ; 0 ; 1 ; 2 ; 0 ; 1336383023924
2012-05-07 09:30:32.0911|INFO|FinalVersion.SurfaceWindow1|; 1336383026876 ; alberto ; A ; 0 ; 1 ; 0 ; 0 ; 1336383032091
2012-05-07 09:30:41.7506|INFO|FinalVersion.SurfaceWindow1|; 1336383035510 ; alberto ; A ; 0 ; 1 ; 1 ; 0 ; 1336383041750
2012-05-07 09:30:50.6831|INFO|FinalVersion.SurfaceWindow1|; 1336383044845 ; alberto ; A ; 0 ; 1 ; 2 ; 2 ; 1336383050683
2012-05-07 09:31:09.1172|INFO|FinalVersion.SurfaceWindow1|; 1336383065834 ; alberto ; A ; 1 ; 1 ; 1 ; 1 ; 1336383069117
