2012-05-07 15:11:39.2067|INFO|FinalVersion.SurfaceWindow1|; 1336403483307 ; kostas pantazos ; D ; 0 ; 3 ; 1 ; 41 ; 1336403499203
2012-05-07 15:11:54.6946|INFO|FinalVersion.SurfaceWindow1|; 1336403505387 ; kostas pantazos ; D ; 0 ; 3 ; 0 ; 1 ; 1336403514694
2012-05-07 15:13:40.4126|INFO|FinalVersion.SurfaceWindow1|; 1336403519348 ; kostas pantazos ; D ; 0 ; 3 ; 2 ; 9 ; 1336403620412
2012-05-07 15:13:54.6344|INFO|FinalVersion.SurfaceWindow1|; 1336403626578 ; kostas pantazos ; D ; 0 ; 3 ; 0 ; 16 ; 1336403634634
2012-05-07 15:14:13.1915|INFO|FinalVersion.SurfaceWindow1|; 1336403647136 ; kostas pantazos ; D ; 0 ; 3 ; 1 ; 2 ; 1336403653191
2012-05-07 15:14:27.0703|INFO|FinalVersion.SurfaceWindow1|; 1336403659564 ; kostas pantazos ; D ; 0 ; 3 ; 2 ; 2 ; 1336403667070
2012-05-07 15:14:45.3703|INFO|FinalVersion.SurfaceWindow1|; 1336403671700 ; kostas pantazos ; D ; 0 ; 3 ; 1 ; 1 ; 1336403685370
2012-05-07 15:14:55.6629|INFO|FinalVersion.SurfaceWindow1|; 1336403693345 ; kostas pantazos ; D ; 0 ; 3 ; 0 ; 0 ; 1336403695662
2012-05-07 15:15:49.8770|INFO|FinalVersion.SurfaceWindow1|; 1336403699759 ; kostas pantazos ; D ; 0 ; 3 ; 2 ; 106 ; 1336403749877
2012-05-07 15:16:42.8961|INFO|FinalVersion.SurfaceWindow1|; 1336403799230 ; kostas pantazos ; D ; 1 ; 3 ; 0 ; 1 ; 1336403802896
2012-05-07 15:16:53.8647|INFO|FinalVersion.SurfaceWindow1|; 1336403808856 ; kostas pantazos ; D ; 1 ; 3 ; 1 ; 2 ; 1336403813864
2012-05-07 15:17:03.0012|INFO|FinalVersion.SurfaceWindow1|; 1336403818530 ; kostas pantazos ; D ; 1 ; 3 ; 2 ; 1 ; 1336403823001
2012-05-07 15:17:13.3978|INFO|FinalVersion.SurfaceWindow1|; 1336403829040 ; kostas pantazos ; D ; 1 ; 3 ; 0 ; 2 ; 1336403833397
2012-05-07 15:17:24.2364|INFO|FinalVersion.SurfaceWindow1|; 1336403840671 ; kostas pantazos ; D ; 1 ; 3 ; 1 ; 1 ; 1336403844236
2012-05-07 15:17:35.7691|INFO|FinalVersion.SurfaceWindow1|; 1336403849976 ; kostas pantazos ; D ; 1 ; 3 ; 2 ; 1 ; 1336403855769
2012-05-07 15:17:48.6388|INFO|FinalVersion.SurfaceWindow1|; 1336403866406 ; kostas pantazos ; D ; 1 ; 3 ; 1 ; 1 ; 1336403868638
2012-05-07 15:17:58.1384|INFO|FinalVersion.SurfaceWindow1|; 1336403874248 ; kostas pantazos ; D ; 1 ; 3 ; 0 ; 2 ; 1336403878138
2012-05-07 15:18:14.5483|INFO|FinalVersion.SurfaceWindow1|; 1336403885907 ; kostas pantazos ; D ; 1 ; 3 ; 2 ; 2 ; 1336403894548
2012-05-07 15:20:14.6592|INFO|FinalVersion.SurfaceWindow1|; 1336403955369 ; kostas pantazos ; D ; 2 ; 3 ; 1 ; 0 ; 1336404014659
2012-05-07 15:20:41.3967|INFO|FinalVersion.SurfaceWindow1|; 1336404018675 ; kostas pantazos ; D ; 2 ; 3 ; 0 ; 0 ; 1336404041396
2012-05-07 15:21:53.8438|INFO|FinalVersion.SurfaceWindow1|; 1336404057717 ; kostas pantazos ; D ; 2 ; 3 ; 2 ; 0 ; 1336404113843
2012-05-07 15:22:44.3727|INFO|FinalVersion.SurfaceWindow1|; 1336404156133 ; kostas pantazos ; D ; 0 ; 0 ; 1 ; 0 ; 1336404164372
2012-05-07 15:22:56.5844|INFO|FinalVersion.SurfaceWindow1|; 1336404167610 ; kostas pantazos ; D ; 0 ; 0 ; 0 ; 0 ; 1336404176584
2012-05-07 15:23:58.1139|INFO|FinalVersion.SurfaceWindow1|; 1336404182806 ; kostas pantazos ; D ; 0 ; 0 ; 2 ; 11 ; 1336404238113
2012-05-07 15:24:08.9566|INFO|FinalVersion.SurfaceWindow1|; 1336404244887 ; kostas pantazos ; D ; 0 ; 0 ; 1 ; 1 ; 1336404248956
2012-05-07 15:24:22.0193|INFO|FinalVersion.SurfaceWindow1|; 1336404254788 ; kostas pantazos ; D ; 0 ; 0 ; 0 ; 0 ; 1336404262019
2012-05-07 15:24:37.3652|INFO|FinalVersion.SurfaceWindow1|; 1336404269955 ; kostas pantazos ; D ; 0 ; 0 ; 2 ; 0 ; 1336404277365
2012-05-07 15:24:48.3508|INFO|FinalVersion.SurfaceWindow1|; 1336404285047 ; kostas pantazos ; D ; 0 ; 0 ; 0 ; 0 ; 1336404288350
2012-05-07 15:25:04.0897|INFO|FinalVersion.SurfaceWindow1|; 1336404300880 ; kostas pantazos ; D ; 0 ; 0 ; 1 ; 0 ; 1336404304089
2012-05-07 15:25:21.6877|INFO|FinalVersion.SurfaceWindow1|; 1336404317443 ; kostas pantazos ; D ; 0 ; 0 ; 2 ; 0 ; 1336404321687
2012-05-07 15:25:48.3262|INFO|FinalVersion.SurfaceWindow1|; 1336404344755 ; kostas pantazos ; D ; 1 ; 0 ; 1 ; 1 ; 1336404348326
2012-05-07 15:25:59.1189|INFO|FinalVersion.SurfaceWindow1|; 1336404356379 ; kostas pantazos ; D ; 1 ; 0 ; 0 ; 1 ; 1336404359118
2012-05-07 15:26:11.1136|INFO|FinalVersion.SurfaceWindow1|; 1336404367721 ; kostas pantazos ; D ; 1 ; 0 ; 2 ; 1 ; 1336404371113
2012-05-07 15:26:17.4509|INFO|FinalVersion.SurfaceWindow1|; 1336404375444 ; kostas pantazos ; D ; 1 ; 0 ; 0 ; 1 ; 1336404377450
