2012-05-03 10:17:02.4736|INFO|FinalVersion.SurfaceWindow1|; 1336040192875 ; steven houben ; C ; 0 ; 2 ; 1 ; 3 ; 1336040222471
2012-05-03 10:17:18.8575|INFO|FinalVersion.SurfaceWindow1|; 1336040230439 ; steven houben ; C ; 0 ; 2 ; 0 ; 0 ; 1336040238857
2012-05-03 10:18:10.8785|INFO|FinalVersion.SurfaceWindow1|; 1336040242753 ; steven houben ; C ; 0 ; 2 ; 2 ; 5 ; 1336040290878
2012-05-03 10:18:35.1319|INFO|FinalVersion.SurfaceWindow1|; 1336040295645 ; steven houben ; C ; 0 ; 2 ; 0 ; 4 ; 1336040315131
2012-05-03 10:18:52.4239|INFO|FinalVersion.SurfaceWindow1|; 1336040318768 ; steven houben ; C ; 0 ; 2 ; 1 ; 2 ; 1336040332423
2012-05-03 10:19:10.0309|INFO|FinalVersion.SurfaceWindow1|; 1336040336153 ; steven houben ; C ; 0 ; 2 ; 2 ; 1 ; 1336040350029
2012-05-03 10:19:31.6751|INFO|FinalVersion.SurfaceWindow1|; 1336040353135 ; steven houben ; C ; 0 ; 2 ; 1 ; 2 ; 1336040371675
2012-05-03 10:19:44.9009|INFO|FinalVersion.SurfaceWindow1|; 1336040375437 ; steven houben ; C ; 0 ; 2 ; 0 ; 2 ; 1336040384900
2012-05-03 10:19:54.3954|INFO|FinalVersion.SurfaceWindow1|; 1336040388484 ; steven houben ; C ; 0 ; 2 ; 2 ; 0 ; 1336040394395
2012-05-03 10:20:12.2864|INFO|FinalVersion.SurfaceWindow1|; 1336040409101 ; steven houben ; C ; 1 ; 2 ; 1 ; 1 ; 1336040412286
2012-05-03 10:20:16.6027|INFO|FinalVersion.SurfaceWindow1|; 1336040414556 ; steven houben ; C ; 1 ; 2 ; 0 ; 1 ; 1336040416602
2012-05-03 10:20:20.5959|INFO|FinalVersion.SurfaceWindow1|; 1336040418259 ; steven houben ; C ; 1 ; 2 ; 2 ; 1 ; 1336040420595
2012-05-03 10:20:24.0431|INFO|FinalVersion.SurfaceWindow1|; 1336040422130 ; steven houben ; C ; 1 ; 2 ; 1 ; 2 ; 1336040424043
